id,feature_class,feature_code,name,description
357,S,JTY,jetty,a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting
358,S,LDNG,landing,"a place where boats receive or discharge passengers and freight, but lacking most port facilities"
359,S,LEPC,leper colony,a settled area inhabited by lepers in relative isolation
360,S,LIBR,library,"A place in which information resources such as books are kept for reading, reference, or lending."
361,S,LNDF,landfill,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land
362,S,LOCK,lock(s),a basin in a waterway with gates at each end by means of which vessels are passed from one water level to another
363,S,LTHSE,lighthouse,a distinctive structure exhibiting a major navigation light
364,S,MALL,mall,"A large, often enclosed shopping complex containing various stores, businesses, and restaurants usually accessible by common passageways."
365,S,MAR,marina,"a harbor facility for small boats, yachts, etc."
366,S,MFG,factory,"one or more buildings where goods are manufactured, processed or fabricated"
367,S,MFGB,brewery,one or more buildings where beer is brewed
368,S,MFGC,cannery,a building where food items are canned
369,S,MFGCU,copper works,a facility for processing copper ore
370,S,MFGLM,limekiln,a furnace in which limestone is reduced to lime
371,S,MFGM,munitions plant,a factory where ammunition is made
372,S,MFGPH,phosphate works,a facility for producing fertilizer
373,S,MFGQ,abandoned factory,
374,S,MFGSG,sugar refinery,a facility for converting raw sugar into refined sugar
375,S,MKT,market,a place where goods are bought and sold at regular intervals
376,S,ML,mill(s),"a building housing machines for transforming, shaping, finishing, grinding, or extracting products"
377,S,MLM,ore treatment plant,a facility for improving the metal content of ore by concentration
378,S,MLO,olive oil mill,a mill where oil is extracted from olives
379,S,MLSG,sugar mill,a facility where sugar cane is processed into raw sugar
380,S,MLSGQ,former sugar mill,a sugar mill no longer used as a sugar mill
381,S,MLSW,sawmill,a mill where logs or lumber are sawn to specified shapes and sizes
382,S,MLWND,windmill,a mill or water pump powered by wind
383,S,MLWTR,water mill,a mill powered by running water
384,S,MN,mine(s),a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages
385,S,MNAU,gold mine(s),"a mine where gold ore, or alluvial gold is extracted"
386,S,MNC,coal mine(s),a mine where coal is extracted
387,S,MNCR,chrome mine(s),a mine where chrome ore is extracted
388,S,MNCU,copper mine(s),a mine where copper ore is extracted
389,S,MNFE,iron mine(s),a mine where iron ore is extracted
390,S,MNMT,monument,a commemorative structure or statue
391,S,MNN,salt mine(s),a mine from which salt is extracted
392,S,MNQ,abandoned mine,
393,S,MNQR,quarry(-ies),"a surface mine where building stone or gravel and sand, etc. are extracted"
394,S,MOLE,mole,a massive structure of masonry or large stones serving as a pier or breakwater
395,S,MSQE,mosque,a building for public Islamic worship
396,S,MSSN,mission,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion"
397,S,MSSNQ,abandoned mission,
398,S,MSTY,monastery,a building and grounds where a community of monks lives in seclusion
399,S,MTRO,metro station,"metro station (Underground, Tube, or Metro)"
400,S,MUS,museum,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited
401,S,NOV,novitiate,a religious house or school where novices are trained
402,S,NSY,nursery(-ies),a place where plants are propagated for transplanting or grafting
403,S,OBPT,observation point,a wildlife or scenic observation point
404,S,OBS,observatory,a facility equipped for observation of atmospheric or space phenomena
405,S,OBSR,radio observatory,a facility equipped with an array of antennae for receiving radio waves from space
406,S,OILJ,oil pipeline junction,a section of an oil pipeline where two or more pipes join together
407,S,OILQ,abandoned oil well,
408,S,OILR,oil refinery,a facility for converting crude oil into refined petroleum products
409,S,OILT,tank farm,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored"
410,S,OILW,oil well,a well from which oil may be pumped
411,S,OPRA,opera house,A theater designed chiefly for the performance of operas.
412,S,PAL,palace,"a large stately house, often a royal or presidential residence"
413,S,PGDA,pagoda,"a tower-like storied structure, usually a Buddhist shrine"
414,S,PIER,pier,a structure built out into navigable water on piles providing berthing for ships and recreation
415,S,PKLT,parking lot,an area used for parking vehicles
416,S,PMPO,oil pumping station,a facility for pumping oil through a pipeline
417,S,PMPW,water pumping station,a facility for pumping water from a major well or through a pipeline
418,S,PO,post office,"a public building in which mail is received, sorted and distributed"
419,S,PP,police post,a building in which police are stationed
420,S,PPQ,abandoned police post,
421,S,PRKGT,park gate,a controlled access to a park
422,S,PRKHQ,park headquarters,a park administrative facility
423,S,PRN,prison,a facility for confining prisoners
424,S,PRNJ,reformatory,"a facility for confining, training, and reforming young law offenders"
425,S,PRNQ,abandoned prison,
426,S,PS,power station,a facility for generating electric power
427,S,PSH,hydroelectric power station,a building where electricity is generated from water power
428,S,PSN,nuclear power station,nuclear power station
429,S,PSTB,border post,a post or station at an international boundary for the regulation of movement of people and goods
430,S,PSTC,customs post,a building at an international boundary where customs and duties are paid on goods
431,S,PSTP,patrol post,a post from which patrols are sent out
432,S,PYR,pyramid,an ancient massive structure of square ground plan with four triangular faces meeting at a point and used for enclosing tombs
433,S,PYRS,pyramids,ancient massive structures of square ground plan with four triangular faces meeting at a point and used for enclosing tombs
434,S,QUAY,quay,a structure of solid construction along a shore or bank which provides berthing for ships and which generally provides cargo handling facilities
435,S,RDCR,traffic circle,a road junction formed around a central circle about which traffic moves in one direction only
436,S,RDIN,intersection,a junction of two or more highways by a system of separate levels that permit traffic to pass from one to another without the crossing of traffic streams
437,S,RECG,golf course,a recreation field where golf is played
438,S,RECR,racetrack,a track where races are held
439,S,REST,restaurant,A place where meals are served to the public
440,S,RET,store,a building where goods and/or services are offered for sale
441,S,RHSE,resthouse,a structure maintained for the rest and shelter of travelers
442,S,RKRY,rookery,a breeding place of a colony of birds or seals
443,S,RLG,religious site,an ancient site of significant religious importance
444,S,RLGR,retreat,"a place of temporary seclusion, especially for religious groups"
445,S,RNCH,ranch(es),a large farm specializing in extensive grazing of livestock
446,S,RSD,railroad siding,a short track parallel to and joining the main track
447,S,RSGNL,railroad signal,a signal at the entrance of a particular section of track governing the movement of trains
448,S,RSRT,resort,"a specialized facility for vacation, health, or participation sports activities"
449,S,RSTN,railroad station,"a facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight"
450,S,RSTNQ,abandoned railroad station,
451,S,RSTP,railroad stop,a place lacking station facilities where trains stop to pick up and unload passengers and freight
452,S,RSTPQ,abandoned railroad stop,
453,S,RUIN,ruin(s),a destroyed or decayed structure which is no longer functional
454,S,SCH,school,building(s) where instruction in one or more branches of knowledge takes place
455,S,SCHA,agricultural school,a school with a curriculum focused on agriculture
456,S,SCHC,college,the grounds and buildings of an institution of higher learning
457,S,SCHL,language school,Language Schools & Institutions
458,S,SCHM,military school,a school at which military science forms the core of the curriculum
459,S,SCHN,maritime school,a school at which maritime sciences form the core of the curriculum
460,S,SCHT,technical school,post-secondary school with a specifically technical or vocational curriculum
461,S,SECP,State Exam Prep Centre,state exam preparation centres
462,S,SHPF,sheepfold,a fence or wall enclosure for sheep and other small herd animals
463,S,SHRN,shrine,a structure or place memorializing a person or religious concept
464,S,SHSE,storehouse,"a building for storing goods, especially provisions"
465,S,SLCE,sluice,"a conduit or passage for carrying off surplus water from a waterbody, usually regulated by means of a sluice gate"
466,S,SNTR,sanatorium,a facility where victims of physical or mental disorders are treated
467,S,SPA,spa,a resort area usually developed around a medicinal spring
468,S,SPLY,spillway,"a passage or outlet through which surplus water flows over, around or through a dam"
469,S,SQR,square,"a broad, open, public area near the center of a town or city"
470,S,STBL,stable,"a building for the shelter and feeding of farm animals, especially horses"
471,S,STDM,stadium,a structure with an enclosure for athletic games with tiers of seats for spectators
472,S,STNB,scientific research base,a scientific facility used as a base from which research is carried out or monitored
473,S,STNC,coast guard station,a facility from which the coast is guarded by armed vessels
474,S,STNE,experiment station,a facility for carrying out experiments
475,S,STNF,forest station,a collection of buildings and facilities for carrying out forest management
476,S,STNI,inspection station,"a station at which vehicles, goods, and people are inspected"
477,S,STNM,meteorological station,a station at which weather elements are recorded
478,S,STNR,radio station,a facility for producing and transmitting information by radio waves
479,S,STNS,satellite station,a facility for tracking and communicating with orbiting satellites
480,S,STNW,whaling station,a facility for butchering whales and processing train oil
481,S,STPS,steps,stones or slabs placed for ease in ascending or descending a steep slope
482,S,SWT,sewage treatment plant,facility for the processing of sewage and/or wastewater
483,S,SYG,synagogue,a place for Jewish worship and religious instruction
484,S,THTR,theater,"a building or outdoor area used for live theatrical presentations, concerts, opera or dance productions, cinema, and/or other stage productions"
485,S,TMB,tomb(s),a structure for interring bodies
486,S,TMPL,temple(s),an edifice dedicated to religious worship
487,S,TNKD,cattle dipping tank,a small artificial pond used for immersing cattle in chemically treated water for disease control
488,S,TOLL,toll gate/barrier,highway toll collection station
489,S,TOWR,tower,"a high conspicuous structure, typically much higher than its diameter"
490,S,TRAM,tram,rail vehicle along urban streets (also known as streetcar or trolley)
491,S,TRANT,transit terminal,facilities for the handling of vehicular freight and passengers
492,S,TRIG,triangulation station,a point on the earth whose position has been determined by triangulation
493,S,TRMO,oil pipeline terminal,a tank farm or loading facility at the end of an oil pipeline
494,S,TWO,temp work office,Temporary Work Offices
495,S,UNIP,university prep school,University Preparation Schools & Institutions
496,S,UNIV,university,An institution for higher learning with teaching and research facilities constituting a graduate school and professional schools that award master's degrees and doctorates and an undergraduate division that awards bachelor's degrees.
497,S,USGE,united states government establishment,a facility operated by the United States Government in Panama
498,S,VETF,veterinary facility,a building or camp at which veterinary services are available
499,S,WALL,wall,"a thick masonry structure, usually enclosing a field or building, or forming the side of a structure"
500,S,WALLA,ancient wall,the remains of a linear defensive stone structure
501,S,WEIR,weir(s),"a small dam in a stream, designed to raise the water level or to divert stream flow through a desired channel"
502,S,WHRF,wharf(-ves),a structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities
503,S,WRCK,wreck,the site of the remains of a wrecked vessel
504,S,WTRW,waterworks,a facility for supplying potable water through a water source and a system of pumps and filtration beds
505,S,ZNF,free trade zone,"an area, usually a section of a port, where goods may be received and shipped free of customs duty and of most customs regulations"
506,S,ZOO,zoo,a zoological garden or park where wild animals are kept for exhibition
507,T,ASPH,asphalt lake,a small basin containing naturally occurring asphalt
508,T,ATOL,atoll(s),a ring-shaped coral reef which has closely spaced islands on it encircling a lagoon
509,T,BAR,bar,"a shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary, or lagoon and in the wave-break zone along coasts"
510,T,BCH,beach,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves
511,T,BCHS,beaches,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves
512,T,BDLD,badlands,"an area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines, and sharp crests and pinnacles"
513,T,BLDR,boulder field,"a high altitude or high latitude bare, flat area covered with large angular rocks"
514,T,BLHL,blowhole(s),a hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air
515,T,BLOW,blowout(s),"a small depression in sandy terrain, caused by wind erosion"
516,T,BNCH,bench,"a long, narrow bedrock platform bounded by steeper slopes above and below, usually overlooking a waterbody"
517,T,BUTE,butte(s),"a small, isolated, usually flat-topped hill with steep sides"
518,T,CAPE,cape,"a land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction"
519,T,CFT,cleft(s),"a deep narrow slot, notch, or groove in a coastal cliff"
520,T,CLDA,caldera,a depression measuring kilometers across formed by the collapse of a volcanic mountain
521,T,CLF,cliff(s),"a high, steep to perpendicular slope overlooking a waterbody or lower area"
522,T,CNYN,canyon,"a deep, narrow valley with steep sides cutting into a plateau or mountainous area"
523,T,CONE,cone(s),a conical landform composed of mud or volcanic material
524,T,CRDR,corridor,a strip or area of land having significance as an access way
525,T,CRQ,cirque,a bowl-like hollow partially surrounded by cliffs or steep slopes at the head of a glaciated valley
526,T,CRQS,cirques,bowl-like hollows partially surrounded by cliffs or steep slopes at the head of a glaciated valley
527,T,CRTR,crater(s),a generally circular saucer or bowl-shaped depression caused by volcanic or meteorite explosive action
528,T,CUET,cuesta(s),an asymmetric ridge formed on tilted strata
529,T,DLTA,delta,a flat plain formed by alluvial deposits at the mouth of a stream
530,T,DPR,depression(s),a low area surrounded by higher land and usually characterized by interior drainage
531,T,DSRT,desert,a large area with little or no vegetation due to extreme environmental conditions
532,T,DUNE,dune(s),"a wave form, ridge or star shape feature composed of sand"
533,T,DVD,divide,a line separating adjacent drainage basins
534,T,ERG,sandy desert,an extensive tract of shifting sand and sand dunes
535,T,FAN,fan(s),a fan-shaped wedge of coarse alluvium with apex merging with a mountain stream bed and the fan spreading out at a low angle slope onto an adjacent plain
536,T,FORD,ford,a shallow part of a stream which can be crossed on foot or by land vehicle
537,T,FSR,fissure,a crack associated with volcanism
538,T,GAP,gap,"a low place in a ridge, not used for transportation"
539,T,GRGE,gorge(s),"a short, narrow, steep-sided section of a stream valley"
540,T,HDLD,headland,a high projection of land extending into a large body of water beyond the line of the coast
541,T,HLL,hill,a rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m
542,T,HLLS,hills,rounded elevations of limited extent rising above the surrounding land with local relief of less than 300m
543,T,HMCK,hammock(s),"a patch of ground, distinct from and slightly above the surrounding plain or wetland. Often occurs in groups"
544,T,HMDA,rock desert,"a relatively sand-free, high bedrock plateau in a hot desert, with or without a gravel veneer"
545,T,INTF,interfluve,a relatively undissected upland between adjacent stream valleys
546,T,ISL,island,"a tract of land, smaller than a continent, surrounded by water at high water"
547,T,ISLET,islet,"small island, bigger than rock, smaller than island."
548,T,ISLF,artificial island,"an island created by landfill or diking and filling in a wetland, bay, or lagoon"
549,T,ISLM,mangrove island,a mangrove swamp surrounded by a waterbody
550,T,ISLS,islands,"tracts of land, smaller than a continent, surrounded by water at high water"
551,T,ISLT,land-tied island,"a coastal island connected to the mainland by barrier beaches, levees or dikes"
552,T,ISLX,section of island,
553,T,ISTH,isthmus,a narrow strip of land connecting two larger land masses and bordered by water
554,T,KRST,karst area,"a distinctive landscape developed on soluble rock such as limestone characterized by sinkholes, caves, disappearing streams, and underground drainage"
555,T,LAVA,lava area,an area of solidified lava
556,T,LEV,levee,a natural low embankment bordering a distributary or meandering stream; often built up artificially to control floods
557,T,MESA,mesa(s),"a flat-topped, isolated elevation with steep slopes on all sides, less extensive than a plateau"
558,T,MND,mound(s),"a low, isolated, rounded hill"
559,T,MRN,moraine,"a mound, ridge, or other accumulation of glacial till"
560,T,MT,mountain,"an elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more"
561,T,MTS,mountains,a mountain range or a group of mountains or high ridges
562,T,NKM,meander neck,a narrow strip of land between the two limbs of a meander loop at its narrowest point
563,T,NTK,nunatak,a rock or mountain peak protruding through glacial ice
564,T,NTKS,nunataks,rocks or mountain peaks protruding through glacial ice
565,T,PAN,pan,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool"
566,T,PANS,pans,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool"
567,T,PASS,pass,"a break in a mountain range or other high obstruction, used for transportation from one side to the other [See also gap]"
568,T,PEN,peninsula,an elongate area of land projecting into a body of water and nearly surrounded by water
569,T,PENX,section of peninsula,
570,T,PK,peak,"a pointed elevation atop a mountain, ridge, or other hypsographic feature"
571,T,PKS,peaks,"pointed elevations atop a mountain, ridge, or other hypsographic features"
572,T,PLAT,plateau,"an elevated plain with steep slopes on one or more sides, and often with incised streams"
573,T,PLATX,section of plateau,
574,T,PLDR,polder,an area reclaimed from the sea by diking and draining
575,T,PLN,plain(s),"an extensive area of comparatively level to gently undulating land, lacking surface irregularities, and usually adjacent to a higher area"
576,T,PLNX,section of plain,
577,T,PROM,promontory(-ies),a bluff or prominent hill overlooking or projecting into a lowland
578,T,PT,point,"a tapering piece of land projecting into a body of water, less prominent than a cape"
579,T,PTS,points,"tapering pieces of land projecting into a body of water, less prominent than a cape"
580,T,RDGB,beach ridge,"a ridge of sand just inland and parallel to the beach, usually in series"
581,T,RDGE,ridge(s),"a long narrow elevation with steep sides, and a more or less continuous crest"
582,T,REG,stony desert,a desert plain characterized by a surface veneer of gravel and stones
583,T,RK,rock,"a conspicuous, isolated rocky mass"
584,T,RKFL,rockfall,an irregular mass of fallen rock at the base of a cliff or steep slope
585,T,RKS,rocks,"conspicuous, isolated rocky masses"
586,T,SAND,sand area,a tract of land covered with sand
587,T,SBED,dry stream bed,a channel formerly containing the water of a stream
588,T,SCRP,escarpment,a long line of cliffs or steep slopes separating level surfaces above and below
589,T,SDL,saddle,"a broad, open pass crossing a ridge or between hills or mountains"
590,T,SHOR,shore,"a narrow zone bordering a waterbody which covers and uncovers at high and low water, respectively"
591,T,SINK,sinkhole,a small crater-shape depression in a karst area
592,T,SLID,slide,"a mound of earth material, at the base of a slope and the associated scoured area"
593,T,SLP,slope(s),a surface with a relatively uniform slope angle
594,T,SPIT,spit,"a narrow, straight or curved continuation of a beach into a waterbody"
595,T,SPUR,spur(s),"a subordinate ridge projecting outward from a hill, mountain or other elevation"
596,T,TAL,talus slope,a steep concave slope formed by an accumulation of loose rock fragments at the base of a cliff or steep slope
597,T,TRGD,interdune trough(s),a long wind-swept trough between parallel longitudinal dunes
598,T,TRR,terrace,"a long, narrow alluvial platform bounded by steeper slopes above and below, usually overlooking a waterbody"
599,T,UPLD,upland,an extensive interior region of high land with low to moderate surface relief
600,T,VAL,valley,an elongated depression usually traversed by a stream
601,T,VALG,hanging valley,a valley the floor of which is notably higher than the valley or shore to which it leads; most common in areas that have been glaciated
602,T,VALS,valleys,elongated depressions usually traversed by a stream
603,T,VALX,section of valley,
604,T,VLC,volcano,a conical elevation composed of volcanic materials with a crater at the top
605,U,APNU,apron,"a gentle slope, with a generally smooth surface, particularly found around groups of islands and seamounts"
606,U,ARCU,arch,a low bulge around the southeastern end of the island of Hawaii
607,U,ARRU,arrugado,an area of subdued corrugations off Baja California
608,U,BDLU,borderland,"a region adjacent to a continent, normally occupied by or bordering a shelf, that is highly irregular with depths well in excess of those typical of a shelf"
609,U,BKSU,banks,"elevations, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation"
610,U,BNKU,bank,"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation"
611,U,BSNU,basin,a depression more or less equidimensional in plan and of variable extent
612,U,CDAU,cordillera,"an entire mountain system including the subordinate ranges, interior plateaus, and basins"
613,U,CNSU,canyons,"relatively narrow, deep depressions with steep sides, the bottom of which generally has a continuous slope"
614,U,CNYU,canyon,"a relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope"
615,U,CRSU,continental rise,a gentle slope rising from oceanic depths towards the foot of a continental slope
616,U,DEPU,deep,"a localized deep area within the confines of a larger feature, such as a trough, basin or trench"
617,U,EDGU,shelf edge,a line along which there is a marked increase of slope at the outer margin of a continental shelf or island shelf
618,U,ESCU,escarpment (or scarp),an elongated and comparatively steep slope separating flat or gently sloping areas
619,U,FANU,fan,a relatively smooth feature normally sloping away from the lower termination of a canyon or canyon system
620,U,FLTU,flat,a small level or nearly level area
621,U,FRZU,fracture zone,"an extensive linear zone of irregular topography of the sea floor, characterized by steep-sided or asymmetrical ridges, troughs, or escarpments"
622,U,FURU,furrow,"a closed, linear, narrow, shallow depression"
623,U,GAPU,gap,a narrow break in a ridge or rise
624,U,GLYU,gully,a small valley-like feature
625,U,HLLU,hill,an elevation rising generally less than 500 meters
626,U,HLSU,hills,elevations rising generally less than 500 meters
627,U,HOLU,hole,a small depression of the sea floor
628,U,KNLU,knoll,"an elevation rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summit"
629,U,KNSU,knolls,"elevations rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summits"
630,U,LDGU,ledge,"a rocky projection or outcrop, commonly linear and near shore"
631,U,LEVU,levee,"an embankment bordering a canyon, valley, or seachannel"
632,U,MESU,mesa,"an isolated, extensive, flat-topped elevation on the shelf, with relatively steep sides"
633,U,MNDU,mound,"a low, isolated, rounded hill"
634,U,MOTU,moat,"an annular depression that may not be continuous, located at the base of many seamounts, islands, and other isolated elevations"
635,U,MTU,mountain,a well-delineated subdivision of a large and complex positive feature
636,U,PKSU,peaks,"prominent elevations, part of a larger feature, either pointed or of very limited extent across the summit"
637,U,PKU,peak,"a prominent elevation, part of a larger feature, either pointed or of very limited extent across the summit"
638,U,PLNU,plain,"a flat, gently sloping or nearly level region"
639,U,PLTU,plateau,"a comparatively flat-topped feature of considerable extent, dropping off abruptly on one or more sides"
640,U,PNLU,pinnacle,"a high tower or spire-shaped pillar of rock or coral, alone or cresting a summit"
641,U,PRVU,province,a region identifiable by a group of similar physiographic features whose characteristics are markedly in contrast with surrounding areas
642,U,RDGU,ridge,a long narrow elevation with steep sides
643,U,RDSU,ridges,long narrow elevations with steep sides
644,U,RFSU,reefs,surface-navigation hazards composed of consolidated material
645,U,RFU,reef,a surface-navigation hazard composed of consolidated material
646,U,RISU,rise,"a broad elevation that rises gently, and generally smoothly, from the sea floor"
647,U,SCNU,seachannel,"a continuously sloping, elongated depression commonly found in fans or plains and customarily bordered by levees on one or two sides"
648,U,SCSU,seachannels,"continuously sloping, elongated depressions commonly found in fans or plains and customarily bordered by levees on one or two sides"
649,U,SDLU,saddle,"a low part, resembling in shape a saddle, in a ridge or between contiguous seamounts"
650,U,SHFU,shelf,a zone adjacent to a continent (or around an island) that extends from the low water line to a depth at which there is usually a marked increase of slope towards oceanic depths
651,U,SHLU,shoal,a surface-navigation hazard composed of unconsolidated material
652,U,SHSU,shoals,hazards to surface navigation composed of unconsolidated material
653,U,SHVU,shelf valley,"a valley on the shelf, generally the shoreward extension of a canyon"
654,U,SILU,sill,the low part of a gap or saddle separating basins
655,U,SLPU,slope,the slope seaward from the shelf edge to the beginning of a continental rise or the point where there is a general reduction in slope
656,U,SMSU,seamounts,"elevations rising generally more than 1,000 meters and of limited extent across the summit"
657,U,SMU,seamount,"an elevation rising generally more than 1,000 meters and of limited extent across the summit"
658,U,SPRU,spur,"a subordinate elevation, ridge, or rise projecting outward from a larger feature"
659,U,TERU,terrace,"a relatively flat horizontal or gently inclined surface, sometimes long and narrow, which is bounded by a steeper ascending slope on one side and by a steep descending slope on the opposite side"
660,U,TMSU,tablemounts (or guyots),"seamounts having a comparatively smooth, flat top"
661,U,TMTU,tablemount (or guyot),"a seamount having a comparatively smooth, flat top"
662,U,TNGU,tongue,an elongate (tongue-like) extension of a flat sea floor into an adjacent higher feature
663,U,TRGU,trough,"a long depression of the sea floor characteristically flat bottomed and steep sided, and normally shallower than a trench"
664,U,TRNU,trench,"a long, narrow, characteristically very deep and asymmetrical depression of the sea floor, with relatively steep sides"
665,U,VALU,valley,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient"
666,U,VLSU,valleys,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient"
667,V,BUSH,bush(es),a small clump of conspicuous bushes in an otherwise bare area
668,V,CULT,cultivated area,an area under cultivation
669,V,FRST,forest(s),an area dominated by tree vegetation
670,V,FRSTF,fossilized forest,a forest fossilized by geologic processes and now exposed at the earth's surface
671,V,GROVE,grove,"a small wooded area or collection of trees growing closely together, occurring naturally or deliberately planted"
672,V,GRSLD,grassland,an area dominated by grass vegetation
673,V,GRVC,coconut grove,a planting of coconut trees
674,V,GRVO,olive grove,a planting of olive trees
675,V,GRVP,palm grove,a planting of palm trees
676,V,GRVPN,pine grove,a planting of pine trees
677,V,HTH,heath,an upland moor or sandy area dominated by low shrubby vegetation including heather
678,V,MDW,meadow,"a small, poorly drained area dominated by grassy vegetation"
679,V,OCH,orchard(s),a planting of fruit or nut trees
680,V,SCRB,scrubland,"an area of low trees, bushes, and shrubs stunted by some environmental limitation"
681,V,TREE,tree(s),a conspicuous tree used as a landmark
682,V,TUND,tundra,"a marshy, treeless, high latitude plain, dominated by mosses, lichens, and low shrub vegetation under permafrost conditions"
683,V,VIN,vineyard,a planting of grapevines
684,V,VINS,vineyards,plantings of grapevines
